player_name,pitch_type,swings,avg_dev_bat_speed_z,avg_dev_attack_angle_z,avg_dev_swing_path_tilt_z,avg_dev_attack_direction_z
"Crochet, Garrett",SI,217,0.149,0.009,0.01,0.036
"Morejon, Adrian",SL,110,0.149,0.374,0.068,0.293
"Banda, Anthony",FF,140,0.148,-0.204,0.014,-0.115
"Lugo, Seth",FC,131,0.148,0.034,0.068,0.212
"Brogdon, Connor",CH,170,0.147,0.018,-0.021,0.3
"Vesia, Alex",SL,179,0.145,0.313,0.179,0.249
"Casparius, Ben",FF,173,0.144,0.042,0.025,0.056
"Wacha, Michael",SI,153,0.144,-0.049,0.196,-0.101
"Brazobán, Huascar",SI,167,0.144,0.135,0.04,0.223
"Fernandez, Ryan",SL,115,0.144,-0.017,-0.076,-0.038
"Bivens, Spencer",SI,188,0.143,-0.13,-0.043,-0.007
"Legumina, Casey",FF,212,0.143,0.005,-0.104,-0.004
"Strahm, Matt",SL,162,0.143,0.054,-0.011,0.095
"Headrick, Brent",FF,135,0.143,0.099,0.039,0.231
"Hernández, Daysbel",FF,122,0.141,-0.021,-0.067,0.035
"Matz, Steven",SI,312,0.14,-0.028,0.193,0.103
"Latz, Jacob",SL,124,0.14,-0.011,0.13,0.108
"Houser, Adrian",FF,112,0.139,-0.155,0.081,0.023
"Snell, Blake",FF,258,0.139,0.014,0.187,0.034
"Erceg, Lucas",FF,140,0.135,0.199,-0.176,0.128
"Rea, Colin",SI,135,0.135,-0.073,0.226,-0.004
"Martin, Chris",FC,107,0.134,0.22,-0.112,0.288
"Strider, Spencer",SL,352,0.134,0.137,0.023,0.129
"Junis, Jakob",SI,113,0.133,0.151,-0.089,0.172
"Zerpa, Angel",SI,177,0.131,0.117,-0.097,0.259
"Zeferjahn, Ryan",FF,143,0.13,0.021,0.048,0.036
"Sousa, Bennett",SL,218,0.13,0.074,-0.02,0.129
"Liberatore, Matthew",CU,104,0.129,-0.102,0.059,0.028
"Cecconi, Slade",SI,103,0.129,0.057,-0.114,0.071
"Rodríguez, Yariel",SL,234,0.129,-0.006,-0.031,0.108
"Detmers, Reid",FF,258,0.128,0.003,0.071,0.074
"Harris, Hogan",FF,278,0.127,0.153,0.018,0.074
"Taillon, Jameson",ST,161,0.127,-0.138,-0.19,-0.078
"Lodolo, Nick",CU,269,0.126,0.208,0.04,0.116
"Severino, Luis",SI,253,0.126,-0.116,0.074,-0.079
"Rodriguez, Eduardo",FC,145,0.125,0.007,-0.006,0.026
"Cleavinger, Garrett",SI,131,0.124,-0.037,0.025,0.104
"Mejia, Juan",FF,339,0.124,0.127,-0.019,0.058
"Garcia, Robert",FF,213,0.124,0.181,-0.042,0.177
"Rea, Colin",SL,109,0.124,0.119,-0.101,0.039
"Brazobán, Huascar",CH,178,0.123,-0.147,-0.07,-0.111
"Parker, Mitchell",CU,198,0.122,0.218,0.188,0.288
"Phillips, Tyler",CU,101,0.12,-0.123,0.013,-0.112
"Vesia, Alex",FF,306,0.12,0.11,0.203,0.087
"Horton, Cade",CH,110,0.119,-0.131,0.008,-0.14
"Paddack, Chris",CH,309,0.118,0.131,-0.043,-0.058
"Speier, Gabe",SI,124,0.118,0.056,0.04,-0.038
"Muñoz, Andrés",SL,271,0.116,0.053,0.003,0.216
"Hicks, Jordan",ST,103,0.115,0.082,-0.141,0.26
