player_name,pitch_type,swings,avg_dev_bat_speed_z,avg_dev_attack_angle_z,avg_dev_swing_path_tilt_z,avg_dev_attack_direction_z
"Allard, Kolby",FF,179,0.011,-0.041,0.075,0.281
"Kikuchi, Yusei",CH,164,0.011,0.07,0.323,0.056
"Kolek, Stephen",FF,167,0.011,0.062,-0.055,0.034
"Eisert, Brandon",CH,155,0.01,-0.013,0.16,0.041
"Latz, Jacob",CH,149,0.01,0.084,0.414,0.184
"Dollander, Chase",FF,406,0.009,0.03,0.023,-0.045
"Montgomery, Mason",SL,144,0.009,-0.17,0.242,-0.105
"Brash, Matt",SL,245,0.009,0.016,0.086,-0.077
"Birdsong, Hayden",FF,219,0.009,-0.045,0.013,-0.034
"Burke, Brock",FF,211,0.009,-0.005,0.184,0.042
"Clase, Emmanuel",FC,214,0.009,0.11,0.134,-0.07
"Houck, Tanner",SI,127,0.009,-0.032,0.044,0.034
"Luzardo, Jesús",ST,355,0.009,0.183,-0.004,0.097
"Chivilli, Angel",FF,207,0.009,0.067,-0.075,0.023
"Kahnle, Tommy",CH,375,0.009,-0.039,-0.123,-0.035
"Cecconi, Slade",CU,115,0.009,-0.113,0.09,-0.015
"Seymour, Ian",FF,155,0.008,-0.058,0.023,0.07
"Cannon, Jonathan",FF,179,0.008,-0.135,-0.089,-0.119
"Garrett, Reed",SI,103,0.008,-0.083,0.102,-0.112
"Wrobleski, Justin",FF,177,0.008,-0.244,0.004,-0.028
"Bradley, Taj",FF,424,0.008,-0.046,0.04,-0.055
"Lee, Dylan",FF,151,0.007,0.063,0.012,0.039
"Williams, Gavin",FF,520,0.007,-0.071,-0.104,-0.052
"Bello, Brayan",FF,210,0.005,-0.035,0.035,-0.049
"Bautista, Félix",SI,153,0.005,-0.055,0.384,-0.003
"Dreyer, Jack",FF,241,0.004,0.046,0.286,0.114
"Paddack, Chris",FF,564,0.004,-0.163,-0.023,-0.071
"Alexander, Jason",CH,202,0.004,0.132,-0.156,0.206
"Bubic, Kris",ST,129,0.004,0.021,0.066,-0.002
"Lopez, Jacob",FC,107,0.004,-0.082,-0.018,0.05
"Okert, Steven",SL,301,0.003,0.213,0.217,0.313
"Seymour, Ian",CH,157,0.003,-0.053,0.099,0.046
"Bummer, Aaron",CU,124,0.003,0.041,0.281,-0.043
"Wentz, Joey",FF,366,0.003,-0.001,-0.071,-0.016
"Fairbanks, Pete",FF,257,0.002,0.027,-0.004,0.142
"Williams, Devin",FF,241,0.002,-0.044,0.105,0.001
"Allen, Logan",SI,137,0.001,0.186,0.042,0.063
"Svanson, Matt",SI,183,0.001,0.029,0.023,0.019
"Sugano, Tomoyuki",FF,217,0.001,-0.045,0.107,-0.036
"Armstrong, Shawn",FF,158,0.001,-0.048,-0.176,-0.04
"Ashcraft, Braxton",FF,158,0.001,-0.038,0.02,-0.067
"Mlodzinski, Carmen",FF,257,-0.0,-0.023,-0.046,-0.089
"Civale, Aaron",SI,128,-0.001,-0.058,0.115,0.048
"Leiter, Jack",SI,142,-0.001,0.014,0.162,0.019
"Lorenzen, Michael",CH,195,-0.001,0.228,0.019,0.263
"Festa, David",FF,141,-0.001,0.242,-0.072,0.034
"Smith, Shane",FF,534,-0.002,-0.033,-0.078,-0.035
"Quantrill, Cal",FC,201,-0.003,-0.051,0.013,0.022
"Myers, Tobias",FF,193,-0.003,0.017,0.084,-0.028
"Fedde, Erick",ST,234,-0.003,-0.014,-0.063,-0.087
"Kelly, Merrill",FC,239,-0.004,-0.07,-0.029,-0.12
"Anderson, Grant",SI,113,-0.004,-0.037,-0.141,0.115
"Thielbar, Caleb",FF,209,-0.004,0.163,0.117,0.258
"Johnson, Pierce",CU,239,-0.005,0.141,0.029,0.058
"Cabrera, Edward",SL,173,-0.005,0.167,-0.098,0.186
"Blalock, Bradley",FF,224,-0.006,0.09,0.081,-0.03
"Yamamoto, Yoshinobu",FC,195,-0.006,-0.085,-0.033,-0.276
"Hoffman, Jeff",FF,245,-0.006,0.108,-0.0,0.109
"Canning, Griffin",FF,161,-0.006,-0.075,-0.038,-0.045
"Singer, Brady",FF,124,-0.007,0.048,-0.064,0.08
"Kremer, Dean",CU,126,-0.007,0.056,-0.134,0.025
"Henriquez, Ronny",SL,134,-0.008,0.176,0.083,0.132
"Gray, Sonny",FF,262,-0.008,0.218,-0.313,0.132
"Suarez, Ranger",FC,210,-0.009,0.188,-0.146,0.177
"Kikuchi, Yusei",CU,151,-0.009,-0.098,-0.076,-0.057
"Keller, Mitch",FF,483,-0.01,-0.108,-0.011,-0.118
"Nola, Aaron",FF,198,-0.01,0.027,-0.024,0.102
"Senga, Kodai",FF,255,-0.01,-0.02,0.065,-0.051
"Díaz, Edwin",SL,215,-0.01,0.066,-0.011,0.002
"Pivetta, Nick",ST,237,-0.01,-0.106,0.214,0.093
"Junis, Jakob",SL,176,-0.011,0.023,-0.087,-0.137
"King, Michael",SI,118,-0.011,0.103,-0.013,0.166
"Wacha, Michael",FC,169,-0.011,0.119,-0.046,-0.079
"Bibee, Tanner",SI,192,-0.011,-0.062,-0.157,-0.008
"Evans, Logan",FC,139,-0.012,-0.095,-0.266,0.021
"Okert, Steven",FF,202,-0.012,0.089,-0.003,0.02
"Hancock, Emerson",FF,206,-0.012,-0.067,-0.221,-0.022
"Springs, Jeffrey",FF,486,-0.014,-0.106,0.021,-0.004
"Bido, Osvaldo",FF,246,-0.014,-0.07,-0.103,-0.004
"Lorenzen, Michael",FF,211,-0.014,-0.101,-0.023,-0.097
"Uribe, Abner",SI,262,-0.014,0.068,0.08,-0.02
"Fried, Max",CU,153,-0.014,-0.109,-0.075,-0.021
"King, John",SI,210,-0.014,0.113,-0.112,-0.032
"Eisert, Brandon",SL,206,-0.014,-0.068,-0.1,-0.148
"Eovaldi, Nathan",FC,167,-0.014,0.017,-0.08,-0.108
"Sánchez, Cristopher",CH,564,-0.015,-0.097,-0.036,-0.01
"Eovaldi, Nathan",CU,135,-0.015,-0.004,-0.081,0.266
"Pfaadt, Brandon",ST,238,-0.015,-0.099,-0.113,-0.161
"Pressly, Ryan",FF,117,-0.015,-0.203,-0.12,-0.126
"Boyle, Joe",SL,147,-0.015,-0.02,0.057,-0.07
"Mize, Casey",FF,346,-0.016,-0.105,-0.018,-0.122
"Gusto, Ryan",FF,377,-0.016,0.028,-0.108,0.026
"Chapman, Aroldis",SI,168,-0.017,-0.168,0.588,-0.029
"Nelson, Ryne",CU,103,-0.018,-0.088,-0.058,-0.065
"Fluharty, Mason",ST,149,-0.018,-0.111,0.181,-0.083
"Matthews, Zebby",SL,187,-0.018,-0.135,0.1,-0.244
"Cleavinger, Garrett",SL,152,-0.018,0.103,-0.041,0.098
"Heaney, Andrew",CH,159,-0.018,-0.051,0.286,0.059
"Gaddis, Hunter",SL,271,-0.018,-0.059,0.068,-0.059
"Bibee, Tanner",FF,344,-0.018,-0.001,-0.028,-0.068
"Birdsong, Hayden",SL,137,-0.019,-0.145,0.216,-0.09
"Woods Richardson, Simeon",SL,221,-0.019,-0.028,-0.054,-0.031
"Rea, Colin",ST,121,-0.019,-0.109,0.044,-0.175
"Clase, Emmanuel",SL,110,-0.019,-0.053,0.122,-0.031
"Cecconi, Slade",FF,404,-0.019,0.051,-0.043,0.006
"Sánchez, Cristopher",SI,579,-0.019,-0.011,0.048,-0.026
"Ryan, Joe",ST,136,-0.019,-0.137,-0.103,0.093
"Springs, Jeffrey",SL,233,-0.02,0.192,0.08,0.148
"Irvin, Jake",FF,422,-0.02,-0.015,-0.018,-0.021
"Morton, Charlie",FF,295,-0.02,-0.042,-0.131,-0.092
"Lauer, Eric",FC,142,-0.02,0.009,0.087,0.128
"Soto, Gregory",SI,203,-0.02,-0.036,0.05,-0.165
"Burrows, Mike",CH,192,-0.021,0.136,0.061,0.225
"Burke, Brock",CH,116,-0.021,-0.025,0.197,0.036
"Priester, Quinn",SI,406,-0.021,-0.014,-0.082,-0.079
"Pallante, Andre",SL,332,-0.021,-0.121,-0.117,-0.079
"Ureña, José",CH,102,-0.022,0.01,-0.024,0.048
"Cabrera, Edward",CU,180,-0.022,-0.208,-0.206,-0.04
"Weathers, Ryan",FF,141,-0.022,0.086,0.125,-0.091
"Ober, Bailey",CH,347,-0.022,0.038,-0.045,0.072
"Warren, Will",ST,198,-0.022,-0.094,-0.187,-0.122
"Abbott, Andrew",ST,230,-0.023,-0.016,0.027,-0.047
"Schwellenbach, Spencer",SL,141,-0.023,-0.012,-0.038,-0.092
"Verlander, Justin",SL,324,-0.023,-0.081,0.027,-0.098
"Fried, Max",ST,104,-0.024,0.055,0.107,0.214
"Bazardo, Eduard",SI,216,-0.024,-0.035,0.12,0.064
"Vásquez, Randy",SI,189,-0.024,-0.087,-0.028,-0.034
"Quantrill, Cal",SI,179,-0.024,-0.001,0.058,-0.007
"Rodríguez, Manuel",SL,103,-0.025,0.086,-0.021,-0.069
"Vest, Will",FF,281,-0.025,-0.067,0.006,-0.1
"Lynch IV, Daniel",SL,136,-0.025,-0.063,-0.077,-0.095
"Blanco, Ronel",FF,108,-0.025,0.147,0.076,0.006
"Sears, JP",FF,436,-0.026,0.055,0.086,0.109
"Buehler, Walker",SI,134,-0.026,-0.134,-0.131,-0.097
"Liberatore, Matthew",SL,274,-0.026,0.031,0.096,0.058
"Keller, Mitch",SL,209,-0.026,0.055,0.024,-0.022
"Gordon, Tanner",CH,149,-0.026,0.114,-0.159,0.01
"Cecconi, Slade",SL,166,-0.027,-0.112,-0.083,-0.045
"Lodolo, Nick",SI,240,-0.027,0.075,-0.048,0.028
"Nelson, Ryne",FC,102,-0.027,-0.078,-0.07,-0.093
"Valdez, Framber",SI,543,-0.028,-0.07,-0.014,-0.104
"Severino, Luis",FC,196,-0.028,-0.062,0.011,-0.123
"Hurter, Brant",SI,227,-0.029,-0.046,-0.068,-0.014
"Loáisiga, Jonathan",SI,133,-0.029,-0.027,-0.093,0.067
"Ort, Kaleb",FF,194,-0.029,-0.137,0.04,-0.186
"Gore, MacKenzie",FF,709,-0.029,-0.11,0.045,-0.03
"Varland, Louis",FF,275,-0.03,0.09,0.031,-0.073
"King, Michael",CH,130,-0.03,-0.17,-0.147,-0.095
"Baz, Shane",FC,177,-0.03,-0.062,0.015,-0.117
"Glasnow, Tyler",SI,129,-0.031,-0.093,0.268,-0.02
"Pérez, Martín",SI,108,-0.031,0.1,-0.218,0.11
"Verlander, Justin",CU,112,-0.031,-0.134,-0.135,-0.027
"Banda, Anthony",SL,237,-0.032,0.054,0.097,0.054
"Bubic, Kris",FF,320,-0.032,-0.031,-0.097,-0.042
"Suarez, Ranger",FF,143,-0.032,0.018,-0.058,0.051
"Gausman, Kevin",FS,407,-0.032,-0.088,0.036,-0.072
"Kirby, George",ST,249,-0.033,0.322,-0.005,0.196
"Priester, Quinn",FC,223,-0.033,-0.036,0.095,-0.103
"Luzardo, Jesús",FF,474,-0.034,-0.101,0.02,-0.064
"Burke, Sean",SL,254,-0.034,-0.164,0.135,-0.1
"Littell, Zack",FS,258,-0.034,-0.081,-0.064,-0.131
"Pallante, Andre",FF,537,-0.035,0.173,0.037,-0.03
"Woo, Bryan",FF,717,-0.036,-0.089,-0.002,-0.071
"Hendricks, Kyle",FF,153,-0.036,0.168,-0.224,0.104
"Allen, Logan",FF,389,-0.037,0.008,-0.016,0.012
"Peralta, Freddy",SL,142,-0.038,0.256,-0.098,0.252
"Snell, Blake",CH,191,-0.038,-0.042,0.079,-0.062
"McGreevy, Michael",SI,151,-0.038,0.132,-0.16,0.112
"Rea, Colin",FF,511,-0.038,-0.034,-0.133,-0.135
"Richardson, Lyon",CH,123,-0.038,0.033,-0.155,0.041
"Smith, Shane",CH,179,-0.038,0.01,-0.077,-0.13
"Henry, Cole",ST,100,-0.039,0.066,-0.228,0.062
"Buttó, José",FF,139,-0.039,-0.021,-0.099,-0.123
"Anderson, Tyler",FC,192,-0.039,0.073,0.194,0.056
"Canning, Griffin",SL,192,-0.039,0.04,0.085,-0.063
"Dobbins, Hunter",FF,171,-0.04,-0.128,-0.126,-0.061
"Patrick, Chad",FF,240,-0.04,-0.097,0.088,-0.005
"Ryan, Joe",SL,107,-0.041,-0.017,-0.067,-0.074
"Williams, Trevor",FF,327,-0.041,0.155,-0.061,0.055
"Nola, Aaron",CH,112,-0.041,-0.089,-0.138,-0.238
"Beck, Tristan",FF,112,-0.041,0.048,0.059,-0.08
"Gil, Luis",SL,110,-0.041,-0.09,0.086,-0.052
"Soriano, José",SI,599,-0.042,-0.125,-0.049,-0.182
"Hernández, Daysbel",SL,170,-0.042,-0.068,0.002,-0.096
"Glasnow, Tyler",FF,268,-0.042,0.029,-0.028,-0.023
"Beeks, Jalen",FF,238,-0.043,-0.021,-0.16,0.024
"Walker, Taijuan",SL,112,-0.043,-0.115,0.009,-0.075
"Martin, Davis",FF,361,-0.043,-0.132,-0.035,-0.103
"Kremer, Dean",FF,335,-0.043,-0.034,-0.021,-0.044
"Kremer, Dean",FS,204,-0.044,0.187,0.094,0.205
"Brzykcy, Zach",FF,130,-0.044,-0.047,0.119,-0.036
"Bradley, Taj",FS,109,-0.044,-0.255,0.191,-0.191
"Giolito, Lucas",SL,264,-0.044,-0.008,0.011,-0.055
"Valdez, Framber",CH,231,-0.044,0.094,-0.036,0.023
"Sheehan, Emmet",FF,308,-0.045,-0.058,-0.093,0.046
"Curtiss, John",FF,157,-0.045,0.012,0.043,-0.022
"Kolek, Stephen",SI,188,-0.045,-0.248,-0.114,-0.163
"Pepiot, Ryan",SL,229,-0.045,0.122,0.129,0.156
"Jax, Griffin",CH,130,-0.045,-0.298,0.045,-0.303
"Enns, Dietrich",CH,122,-0.045,0.236,-0.029,0.171
"Patrick, Chad",SI,193,-0.045,-0.103,0.064,-0.08
"Morales, Luis",FF,193,-0.045,-0.011,0.007,0.031
"Greene, Hunter",FF,553,-0.045,-0.048,-0.039,-0.081
"Jobe, Jackson",FF,116,-0.046,0.031,0.079,-0.069
"Ohtani, Shohei",ST,112,-0.046,0.046,-0.072,0.214
"Fermin, José",SL,125,-0.046,-0.1,0.05,0.036
"Morton, Charlie",CU,373,-0.046,0.002,-0.099,-0.057
"Priester, Quinn",SL,332,-0.046,-0.044,-0.09,-0.091
"Beck, Tristan",ST,111,-0.046,-0.056,-0.041,-0.16
"Singer, Brady",SL,377,-0.047,-0.067,-0.008,-0.138
"Bubic, Kris",CH,178,-0.047,0.011,-0.08,0.224
"Festa, Matt",ST,137,-0.047,0.034,0.071,-0.017
"Strider, Spencer",FF,509,-0.048,-0.032,-0.095,-0.06
"Hill, Tim",SI,385,-0.048,0.102,-0.056,0.09
"Webb, Logan",CH,387,-0.049,0.036,-0.013,-0.119
"Wrobleski, Justin",SL,148,-0.049,0.379,0.142,0.308
"Taillon, Jameson",FF,359,-0.049,0.028,0.038,0.012
"Castillo, Luis",FF,798,-0.049,-0.054,-0.091,-0.006
"Kochanowicz, Jack",FF,155,-0.049,-0.043,0.012,-0.014
"Peterson, David",SI,299,-0.05,-0.001,-0.012,-0.107
"Wheeler, Zack",FF,507,-0.05,-0.148,-0.161,-0.085
"Wilson, Justin",FF,185,-0.05,-0.112,0.056,-0.11
"Singer, Brady",FC,104,-0.05,0.096,-0.196,-0.058
"Povich, Cade",FF,296,-0.05,-0.024,0.04,-0.028
"Burrows, Mike",FF,278,-0.051,0.075,-0.038,0.096
"Herget, Jimmy",ST,174,-0.051,-0.005,0.004,0.091
"Cano, Yennier",SI,190,-0.051,-0.083,-0.082,-0.015
"Manaea, Sean",ST,135,-0.051,0.193,0.149,0.438
"Povich, Cade",CH,104,-0.052,-0.008,0.046,-0.031
"Abbott, Andrew",FF,571,-0.052,-0.03,0.088,0.011
"Cameron, Noah",FC,201,-0.053,0.041,-0.213,0.141
"Luzardo, Jesús",CH,260,-0.053,-0.088,0.009,-0.069
"Pfaadt, Brandon",FF,309,-0.053,0.011,-0.053,-0.078
"Suarez, Robert",CH,116,-0.053,-0.227,-0.132,-0.113
"Rodón, Carlos",CH,239,-0.054,-0.123,0.034,-0.041
"Eovaldi, Nathan",FF,176,-0.054,0.107,-0.051,0.02
"Suarez, Robert",FF,369,-0.054,-0.171,-0.042,-0.129
"Megill, Tylor",SI,102,-0.055,-0.208,-0.022,-0.002
"López, Pablo",CH,121,-0.055,-0.147,-0.165,-0.173
"Luzardo, Jesús",SI,153,-0.055,-0.116,-0.271,-0.117
"Verlander, Justin",FF,556,-0.056,-0.03,0.033,-0.02
"Long, Sam",FF,131,-0.056,0.063,0.017,0.073
"Fedde, Erick",SI,289,-0.056,-0.166,0.089,-0.089
"Allen, Logan",CH,224,-0.056,0.033,0.089,-0.012
"Bachar, Lake",FF,197,-0.056,0.107,-0.035,0.093
"Dodd, Dylan",FC,150,-0.057,0.267,0.168,0.178
"Adam, Jason",FF,106,-0.057,0.079,0.289,0.07
"Baker, Bryan",CH,131,-0.057,0.076,0.093,0.099
"Soroka, Michael",FF,338,-0.057,0.031,-0.022,-0.094
"Freeland, Kyle",ST,150,-0.057,-0.046,0.073,-0.11
"Booser, Cam",FF,134,-0.057,0.036,0.061,0.015
"Ginn, J.T.",SL,169,-0.057,-0.033,-0.105,-0.195
"Chapman, Aroldis",FF,207,-0.058,-0.043,-0.045,-0.153
"Littell, Zack",FF,324,-0.059,-0.126,-0.002,-0.088
"Cameron, Noah",SL,158,-0.059,0.033,0.024,0.122
"Casparius, Ben",ST,180,-0.059,-0.134,0.071,-0.191
"Quantrill, Cal",FS,126,-0.06,-0.138,0.019,-0.159
"Hoffman, Jeff",FS,114,-0.06,0.021,0.203,0.053
"Quintana, Jose",CH,192,-0.06,-0.111,0.043,0.034
"Smith, Shane",SI,135,-0.06,-0.082,-0.051,-0.066
"Skenes, Paul",FS,138,-0.06,0.018,-0.277,-0.085
"Young, Brandon",FF,195,-0.06,-0.067,-0.122,-0.039
"Thompson, Ryan",SI,148,-0.061,-0.088,0.164,-0.035
"Matthews, Zebby",FF,283,-0.061,-0.139,-0.037,-0.16
"Gore, MacKenzie",SL,167,-0.061,0.045,0.358,-0.031
"Keller, Brad",FF,216,-0.062,-0.085,-0.174,-0.135
"Liberatore, Matthew",FF,328,-0.062,-0.062,0.046,-0.008
"Suarez, Ranger",SI,237,-0.062,0.024,-0.14,0.01
"Parker, Mitchell",FF,740,-0.063,-0.067,0.068,0.001
"De Los Santos, Enyel",FF,262,-0.063,-0.097,-0.051,-0.106
"Vasil, Mike",SI,257,-0.063,-0.017,-0.135,-0.106
"Kershaw, Clayton",FF,209,-0.063,0.206,0.064,0.193
"Jansen, Kenley",FC,342,-0.063,-0.192,0.043,-0.188
"Alexander, Tyler",CH,109,-0.063,0.048,-0.09,0.157
"Imanaga, Shota",FS,189,-0.063,-0.038,-0.105,0.046
"Nola, Aaron",SI,115,-0.064,0.12,-0.089,0.118
"Leiter, Jack",CH,169,-0.064,-0.078,-0.004,-0.046
"Cruz, Steven",FF,136,-0.064,0.027,-0.117,0.031
"Houser, Adrian",SI,411,-0.064,-0.076,-0.094,-0.074
"Heaney, Andrew",FF,423,-0.064,0.023,-0.059,0.093
"Spence, Mitch",SL,174,-0.065,-0.123,-0.128,-0.179
"Civale, Aaron",FF,111,-0.065,-0.02,0.116,-0.07
"Gordon, Colton",FF,305,-0.065,-0.052,0.054,0.068
"Gray, Sonny",SI,211,-0.066,-0.027,-0.124,-0.047
"Suarez, Ranger",CU,123,-0.067,0.06,-0.005,-0.058
"Nicolas, Kyle",FF,161,-0.067,-0.024,0.2,-0.057
"Kelly, Merrill",FF,263,-0.067,0.187,-0.191,0.04
"Schmidt, Clarke",FC,222,-0.067,-0.105,0.093,0.034
"Ferguson, Tyler",ST,100,-0.068,-0.145,-0.041,-0.254
"Lugo, Seth",SI,142,-0.068,0.033,0.005,0.074
"Barlow, Scott",FF,122,-0.068,0.231,-0.084,0.132
"Holmes, Grant",CU,109,-0.068,0.136,0.016,0.072
"Hanifee, Brenan",SI,249,-0.068,-0.053,-0.109,-0.079
"Sugano, Tomoyuki",ST,213,-0.069,-0.134,-0.095,-0.159
"Houser, Adrian",SL,137,-0.07,-0.125,-0.011,0.018
"Martin, Davis",SL,228,-0.07,-0.194,-0.004,-0.178
"Elder, Bryce",CH,124,-0.07,-0.124,-0.043,-0.218
"Vargas, Carlos",SL,108,-0.07,-0.007,0.199,0.085
"Cannon, Jonathan",SI,161,-0.07,-0.063,0.047,-0.076
"Fermin, José",FF,137,-0.07,-0.188,0.007,-0.098
"Mlodzinski, Carmen",SL,110,-0.071,-0.016,-0.045,-0.044
"Webb, Jacob",CH,172,-0.071,0.084,0.04,0.02
"Abel, Mick",FF,153,-0.071,0.016,-0.1,-0.053
"Berríos, José",CH,229,-0.071,-0.041,-0.111,-0.081
"Topa, Justin",SI,147,-0.072,0.031,-0.016,-0.038
"Mikolas, Miles",SI,205,-0.073,-0.096,0.062,0.051
"Glasnow, Tyler",SL,165,-0.073,-0.066,0.132,-0.081
"Anderson, Grant",FF,194,-0.073,-0.099,-0.062,-0.067
"Reynolds, Sean",FF,111,-0.074,-0.094,-0.013,-0.069
"Mikolas, Miles",CU,121,-0.074,-0.018,-0.115,-0.004
"Fitts, Richard",SL,107,-0.075,-0.107,-0.056,-0.112
"Miller, Bryce",FF,380,-0.075,-0.069,-0.025,-0.058
"Stanek, Ryne",FF,338,-0.075,-0.171,0.1,-0.133
"Ortiz, Luis",FF,181,-0.076,-0.024,-0.089,-0.064
"Walter, Brandon",FC,103,-0.076,0.031,0.2,0.022
"Ray, Robbie",CH,145,-0.076,-0.058,-0.082,0.021
"Burns, Chase",FF,233,-0.076,-0.121,-0.124,-0.194
"Weissert, Greg",FF,217,-0.077,-0.063,-0.061,-0.068
"Adam, Jason",CH,171,-0.077,-0.17,-0.051,-0.227
"Sheehan, Emmet",SL,205,-0.077,-0.099,-0.026,-0.033
"Woodruff, Brandon",FF,158,-0.077,0.116,0.051,0.082
"García, Luis",SI,169,-0.077,-0.248,-0.023,-0.238
"Perkins, Jack",FF,114,-0.077,-0.158,0.051,-0.161
"Banks, Tanner",SL,193,-0.077,0.323,-0.027,0.604
"Peralta, Freddy",CU,152,-0.077,-0.004,0.065,0.027
"Martinez, Nick",FF,271,-0.078,-0.054,-0.025,-0.014
"Kikuchi, Yusei",FF,498,-0.078,0.026,0.113,-0.025
"Smith-Shawver, AJ",FF,144,-0.078,0.028,-0.064,-0.108
"Bellozo, Valente",FC,194,-0.078,-0.077,-0.049,0.002
"Tonkin, Michael",FF,104,-0.078,0.074,0.005,-0.033
"Faucher, Calvin",FC,167,-0.078,-0.027,-0.142,-0.056
"Wentz, Joey",SL,223,-0.078,-0.011,0.021,-0.071
"Finnegan, Kyle",FF,255,-0.078,-0.145,-0.075,-0.125
"Gilbert, Logan",SL,370,-0.079,-0.006,-0.065,-0.037
"Flaherty, Jack",FF,597,-0.079,0.003,-0.13,-0.019
"Bello, Brayan",FC,181,-0.079,0.262,-0.131,0.216
"Flexen, Chris",FF,136,-0.08,-0.051,0.188,-0.102
"Holmes, Grant",FF,246,-0.08,0.003,-0.128,-0.015
"Lee, Dylan",SL,310,-0.08,0.027,0.021,0.183
"Ginn, J.T.",SI,304,-0.081,-0.001,-0.11,0.06
"Williams, Devin",CH,305,-0.081,-0.086,0.0,-0.088
"Gordon, Colton",ST,161,-0.081,-0.049,0.08,0.164
"Uceta, Edwin",CH,235,-0.082,-0.091,-0.069,-0.174
"Salazar, Eduardo",SI,111,-0.082,-0.259,0.019,-0.135
"Gausman, Kevin",FF,925,-0.082,-0.062,0.06,-0.154
"Alexander, Tyler",ST,136,-0.082,-0.014,-0.059,-0.149
"Pagán, Emilio",FF,328,-0.084,0.075,0.014,0.051
"Herget, Jimmy",SL,160,-0.084,0.032,-0.138,-0.168
"Henderson, Logan",FF,111,-0.084,0.028,-0.046,0.013
"Scott, Tanner",FF,261,-0.084,-0.024,0.186,-0.045
"Kirby, George",SI,267,-0.084,-0.131,0.149,-0.063
"Sugano, Tomoyuki",FC,120,-0.084,-0.131,-0.285,-0.21
"deGrom, Jacob",FF,658,-0.084,-0.067,-0.116,-0.127
"Lauer, Eric",FF,441,-0.084,-0.154,-0.081,-0.085
"Littell, Zack",SL,387,-0.084,-0.023,0.072,-0.015
"Green, Chad",FF,191,-0.085,0.103,0.022,-0.022
"Leiter Jr., Mark",SI,129,-0.085,0.019,0.086,-0.087
"King, Bryan",ST,114,-0.085,0.076,0.386,0.185
"Scherzer, Max",SL,220,-0.086,0.051,-0.104,-0.013
"Cannon, Jonathan",FC,175,-0.086,-0.08,-0.052,-0.066
"Cabrera, Edward",CH,267,-0.086,-0.12,-0.121,-0.194
"Stroman, Marcus",SI,117,-0.086,0.14,0.072,0.096
"Buttó, José",SL,160,-0.086,-0.018,-0.004,-0.118
"Bivens, Spencer",FC,142,-0.087,-0.133,0.042,-0.154
"Yates, Kirby",FF,224,-0.087,-0.071,0.014,-0.179
"Webb, Logan",ST,288,-0.088,0.097,0.042,0.027
"Crochet, Garrett",FC,407,-0.088,0.021,-0.103,0.053
"Montero, Keider",SI,125,-0.088,0.044,0.062,-0.029
"Fried, Max",SI,269,-0.088,-0.076,-0.007,-0.072
"Peralta, Wandy",SI,201,-0.089,-0.069,0.044,-0.031
"Ober, Bailey",SL,210,-0.089,-0.137,-0.076,-0.07
"Horton, Cade",FF,410,-0.089,-0.029,-0.049,-0.123
"Lopez, Jacob",SL,236,-0.09,0.062,0.04,0.233
"Castillo, José",SL,123,-0.09,-0.05,0.063,-0.139
"Ross, Joe",FF,143,-0.09,-0.106,-0.185,-0.173
"Granillo, Andre",SL,106,-0.09,-0.14,-0.066,0.056
"Sousa, Bennett",FF,140,-0.091,-0.144,0.059,-0.181
"Milner, Hoby",ST,110,-0.092,0.216,0.051,0.093
"Gray, Sonny",CU,156,-0.092,0.028,-0.126,-0.149
"Skubal, Tarik",SL,177,-0.093,0.234,0.198,0.223
"Castillo, Luis",CH,146,-0.093,0.017,-0.102,-0.11
"Walker, Taijuan",FS,141,-0.094,-0.15,-0.101,-0.071
"Martinez, Nick",FC,240,-0.094,-0.105,-0.053,-0.115
"Heaney, Andrew",SL,159,-0.094,-0.023,-0.065,-0.035
"Gordon, Tanner",FF,336,-0.094,0.219,0.098,0.06
"Boyd, Matthew",FF,725,-0.095,-0.006,-0.058,-0.036
"Burnes, Corbin",FC,214,-0.096,-0.133,0.096,-0.283
"Olson, Reese",CH,139,-0.096,-0.073,0.058,-0.166
"Berríos, José",FF,194,-0.097,-0.059,-0.051,-0.093
"Evans, Logan",ST,115,-0.097,-0.07,0.066,-0.121
"Bello, Brayan",SI,375,-0.098,-0.073,0.006,-0.081
"Quintana, Jose",SI,373,-0.098,-0.12,-0.053,-0.107
"Melton, Troy",FF,168,-0.098,-0.062,-0.062,-0.121
"Akin, Keegan",CH,100,-0.098,-0.15,0.125,-0.211
"Holmes, Clay",SL,121,-0.098,-0.049,-0.159,-0.114
"Lodolo, Nick",CH,273,-0.098,-0.003,-0.037,0.017
"Ober, Bailey",FF,411,-0.099,0.241,-0.038,0.056
"Severino, Luis",ST,241,-0.099,-0.063,-0.044,-0.134
"Morton, Charlie",SI,157,-0.1,-0.054,-0.042,-0.064
"Knack, Landon",FF,167,-0.1,0.028,-0.092,-0.017
"Alcantara, Sandy",SI,342,-0.101,-0.122,-0.102,-0.151
"Yamamoto, Yoshinobu",FS,288,-0.101,-0.03,0.007,-0.07
"Gilbert, Tyler",SI,113,-0.102,0.058,0.097,0.144
"Warren, Will",FF,539,-0.102,0.007,-0.052,-0.061
"Junis, Jakob",CH,102,-0.102,-0.026,-0.052,-0.15
"Alcantara, Sandy",SL,200,-0.103,-0.006,-0.11,-0.139
"Alcantara, Sandy",FC,186,-0.103,0.068,-0.004,0.059
