player_name,pitcher,pitch_type,pitches,avg_velo,avg_spin,avg_spin_axis,avg_pfx_x,avg_pfx_z,avg_extension,avg_release_pos_x,avg_release_pos_z,whiff_rate,called_strike_rate,chase_rate,hard_hit_rate,xwoba_on_contact,xba_on_contact
"Alexander, Tyler",641302,FF,414,90.812,2233.756,141.326,0.772,1.329,6.215,1.761,5.575,0.085,0.174,0.111,0.089,0.33,0.332
"Alexander, Tyler",641302,SI,291,90.497,2097.434,136.328,1.343,0.778,6.248,1.869,5.422,0.048,0.241,0.1,0.065,0.264,0.288
"Alexander, Tyler",641302,ST,355,80.249,2483.975,277.352,-1.027,0.399,6.305,2.021,5.236,0.107,0.161,0.11,0.068,0.329,0.374
"Allard, Kolby",663465,CH,200,81.442,1546.62,120.405,1.177,0.522,5.813,2.137,5.558,0.075,0.065,0.175,0.075,0.266,0.239
"Allard, Kolby",663465,CU,132,72.06,1882.25,335.227,-0.635,-1.091,5.895,1.91,5.595,0.053,0.144,0.098,0.098,0.276,0.29
"Allard, Kolby",663465,FC,193,84.896,2038.984,192.523,-0.39,0.558,6.323,2.003,5.395,0.052,0.187,0.098,0.104,0.363,0.33
"Allard, Kolby",663465,FF,389,90.067,2029.378,148.254,0.515,1.349,6.369,2.049,5.314,0.116,0.231,0.1,0.09,0.259,0.308
"Allen, Logan",671106,CH,497,82.427,959.406,133.322,0.819,0.494,6.29,2.372,5.272,0.085,0.066,0.187,0.105,0.31,0.315
"Allen, Logan",671106,FC,306,85.68,2265.99,192.183,-0.354,0.532,6.326,2.382,5.276,0.085,0.186,0.108,0.065,0.429,0.349
"Allen, Logan",671106,FF,900,91.219,2232.594,150.346,0.522,1.365,6.323,2.304,5.318,0.077,0.202,0.084,0.074,0.345,0.322
"Allen, Logan",671106,SI,366,88.988,1966.743,138.216,1.136,0.773,6.39,2.467,5.045,0.038,0.249,0.093,0.087,0.335,0.3
"Allen, Logan",671106,ST,636,78.072,2299.368,290.195,-1.184,0.067,6.275,2.432,5.184,0.101,0.167,0.132,0.061,0.276,0.275
"Altavilla, Dan",656186,CH,107,91.787,1779.383,244.692,-1.328,0.1,5.906,-2.19,5.121,0.187,0.037,0.206,0.084,0.257,0.286
"Altavilla, Dan",656186,FF,121,96.01,2333.843,224.405,-0.928,1.164,5.963,-2.055,5.201,0.05,0.14,0.074,0.058,0.382,0.225
"Altavilla, Dan",656186,SI,114,96.582,2289.553,227.658,-1.361,0.719,5.951,-2.087,5.178,0.114,0.184,0.123,0.061,0.292,0.297
"Altavilla, Dan",656186,SL,114,90.679,2530.053,175.781,0.232,0.435,5.871,-2.138,5.207,0.044,0.219,0.079,0.07,0.398,0.374
"Alvarado, Elvis",665660,FF,372,98.686,2450.022,232.984,-1.182,1.135,5.887,-2.395,5.713,0.172,0.134,0.132,0.051,0.299,0.301
"Alvarado, Elvis",665660,SI,117,98.256,2488.376,232.197,-1.392,0.783,5.917,-2.446,5.666,0.043,0.188,0.111,0.205,0.462,0.423
"Alvarado, Elvis",665660,SL,245,88.898,2215.829,245.624,-0.075,0.455,5.976,-2.483,5.619,0.171,0.122,0.196,0.065,0.221,0.276
"Alvarado, José",621237,FC,139,93.179,2132.259,159.122,-0.081,0.544,6.818,1.206,6.569,0.245,0.022,0.281,0.058,0.17,0.23
"Alvarado, José",621237,SI,287,99.064,2083.174,148.387,1.249,1.08,6.939,1.369,6.467,0.042,0.244,0.063,0.105,0.386,0.358
"Alvarez, Andrew",674841,CU,113,82.456,2688.634,331.67,-0.898,-0.895,6.37,1.37,6.37,0.062,0.088,0.115,0.08,0.226,0.254
"Alvarez, Andrew",674841,FF,142,91.285,2331.62,148.683,0.287,1.134,6.542,1.332,6.337,0.042,0.19,0.07,0.07,0.345,0.336
"Alvarez, Andrew",674841,SL,121,82.381,2638.151,323.168,-0.213,-0.275,6.397,1.398,6.318,0.132,0.223,0.157,0.083,0.195,0.206
"Anderson, Grant",681982,FF,392,93.433,2448.13,244.661,-1.078,1.019,6.537,-2.468,4.538,0.171,0.11,0.148,0.036,0.217,0.266
"Anderson, Grant",681982,SI,298,93.152,2278.799,248.134,-1.48,0.034,6.483,-2.555,4.487,0.027,0.272,0.07,0.117,0.42,0.398
"Anderson, Grant",681982,ST,451,80.204,2697.479,80.554,1.166,0.206,6.422,-2.578,4.077,0.164,0.142,0.195,0.053,0.248,0.292
"Anderson, Ian",666120,FF,104,93.748,1950.471,201.904,-0.657,1.253,6.95,-1.649,6.144,0.029,0.192,0.096,0.067,0.395,0.374
"Anderson, Nick",623433,FF,116,95.228,2297.931,208.578,-0.516,1.275,6.182,-0.833,6.443,0.06,0.172,0.121,0.069,0.355,0.335
"Anderson, Tyler",542881,CH,795,78.676,1916.381,136.518,1.096,1.019,5.943,1.295,6.46,0.195,0.14,0.225,0.058,0.301,0.315
"Anderson, Tyler",542881,FC,480,84.353,2294.335,161.298,-0.142,1.113,6.056,1.57,6.209,0.077,0.108,0.142,0.106,0.328,0.316
"Anderson, Tyler",542881,FF,892,89.288,2184.796,155.557,0.572,1.623,6.047,1.321,6.297,0.062,0.18,0.1,0.107,0.382,0.31
"Armstrong, Shawn",542888,FC,269,90.835,2467.718,177.989,0.355,0.798,6.685,-1.574,5.839,0.089,0.175,0.119,0.082,0.324,0.295
"Armstrong, Shawn",542888,FF,323,93.523,2344.221,211.128,-0.453,1.31,6.707,-1.618,5.746,0.149,0.167,0.09,0.05,0.271,0.348
"Armstrong, Shawn",542888,SI,264,94.108,2135.674,216.08,-1.287,0.906,6.782,-1.652,5.661,0.038,0.242,0.072,0.083,0.295,0.316
"Armstrong, Shawn",542888,ST,261,85.083,2615.09,100.984,1.033,0.826,6.675,-1.465,5.88,0.13,0.169,0.169,0.027,0.171,0.166
"Arrighetti, Spencer",681293,CU,139,77.538,2835.417,58.849,1.36,-0.616,7.037,-2.215,5.006,0.144,0.23,0.165,0.072,0.28,0.346
"Arrighetti, Spencer",681293,FF,196,93.135,2318.214,227.903,-1.08,1.251,7.243,-2.032,5.044,0.077,0.128,0.087,0.087,0.36,0.298
"Ashby, Aaron",676879,CH,135,91.424,1894.837,134.6,1.151,0.322,5.34,0.514,6.375,0.156,0.067,0.178,0.104,0.336,0.37
"Ashby, Aaron",676879,CU,299,82.365,2739.425,334.217,-0.652,-1.435,5.318,0.418,6.418,0.12,0.251,0.147,0.033,0.231,0.357
"Ashby, Aaron",676879,SI,605,97.565,2153.883,146.03,1.25,0.613,5.326,0.328,6.514,0.063,0.226,0.086,0.096,0.322,0.318
"Ashcraft, Braxton",677952,CU,232,84.326,2762.478,36.914,0.664,-1.032,6.085,-0.957,6.38,0.121,0.237,0.116,0.039,0.21,0.284
"Ashcraft, Braxton",677952,FF,327,96.959,2432.208,217.651,-0.609,1.312,6.405,-1.022,6.195,0.076,0.165,0.095,0.08,0.374,0.36
"Ashcraft, Braxton",677952,SI,163,96.578,2382.791,217.755,-1.296,0.701,6.411,-0.96,6.182,0.086,0.166,0.129,0.123,0.315,0.323
"Ashcraft, Braxton",677952,SL,344,92.024,2620.323,185.985,0.163,0.466,6.243,-1.072,6.255,0.18,0.108,0.195,0.084,0.256,0.303
"Ashcraft, Graham",668933,FC,576,97.066,2597.068,191.901,0.208,0.808,5.384,-0.033,6.554,0.076,0.16,0.142,0.085,0.377,0.35
"Ashcraft, Graham",668933,SL,488,89.867,2949.93,43.409,0.841,-0.18,5.482,-0.19,6.413,0.201,0.156,0.275,0.061,0.178,0.28
"Assad, Javier",665871,FC,124,89.015,2061.823,182.992,0.235,0.755,6.501,-1.777,5.915,0.073,0.137,0.121,0.097,0.427,0.389
"Assad, Javier",665871,SI,230,92.184,1904.626,206.074,-1.121,0.897,6.538,-1.566,6.008,0.065,0.239,0.061,0.087,0.306,0.305
"Bachar, Lake",669199,FF,425,94.766,2716.894,213.362,-0.781,1.528,6.087,-1.404,5.809,0.106,0.212,0.106,0.096,0.389,0.331
"Bachar, Lake",669199,FS,139,83.968,1298.806,242.82,-1.092,0.596,6.162,-1.615,5.548,0.144,0.05,0.223,0.036,0.18,0.255
"Bachar, Lake",669199,SL,266,89.208,2657.47,128.263,0.188,0.132,6.053,-1.463,5.732,0.184,0.132,0.226,0.068,0.289,0.294
"Bachar, Lake",669199,ST,313,86.47,2870.971,52.185,0.96,0.004,6.059,-1.772,5.463,0.112,0.224,0.147,0.07,0.329,0.364
"Bachman, Sam",696147,SI,114,97.212,2319.07,228.325,-1.341,0.819,6.383,-1.99,5.426,0.07,0.254,0.088,0.123,0.386,0.403
"Bachman, Sam",696147,SL,185,87.808,2641.076,73.081,0.195,-0.171,6.271,-1.984,5.445,0.157,0.162,0.162,0.097,0.293,0.316
"Backhus, Kyle",679775,SI,273,90.972,2262.429,102.725,1.528,0.178,7.216,2.977,4.334,0.044,0.256,0.081,0.099,0.312,0.333
"Backhus, Kyle",679775,ST,116,78.391,2215.836,285.897,-1.089,0.184,6.947,3.102,4.175,0.155,0.112,0.155,0.06,0.338,0.321
"Baker, Bryan",641329,CH,307,85.063,1872.261,223.127,-1.204,0.665,6.408,-0.901,6.543,0.169,0.147,0.134,0.055,0.197,0.303
"Baker, Bryan",641329,FF,520,96.742,2288.431,200.677,-0.35,1.507,6.427,-0.634,6.619,0.131,0.138,0.152,0.1,0.358,0.389
"Baker, Bryan",641329,SL,275,88.524,2384.487,148.52,0.575,0.414,6.425,-0.856,6.579,0.091,0.211,0.138,0.109,0.357,0.316
"Banda, Anthony",607455,FF,255,95.907,2192.576,134.729,0.838,1.206,6.197,2.338,5.605,0.114,0.102,0.129,0.118,0.388,0.381
"Banda, Anthony",607455,SI,270,95.792,2094.193,134.654,1.294,0.821,6.213,2.375,5.553,0.052,0.256,0.074,0.074,0.314,0.258
"Banda, Anthony",607455,SL,565,85.871,2343.839,306.704,-0.545,-0.138,6.14,2.496,5.467,0.165,0.104,0.191,0.06,0.256,0.267
"Banks, Tanner",621383,FF,233,92.667,2176.863,153.618,0.192,1.208,5.676,2.529,6.498,0.099,0.15,0.129,0.082,0.28,0.297
"Banks, Tanner",621383,SI,134,92.216,2051.806,153.351,1.151,0.744,5.672,2.523,6.496,0.037,0.216,0.119,0.082,0.398,0.428
"Banks, Tanner",621383,SL,388,87.271,2359.144,200.144,-0.403,0.384,5.692,2.692,6.401,0.119,0.144,0.108,0.075,0.302,0.342
"Banks, Tanner",621383,ST,267,82.09,2366.959,288.76,-1.052,0.244,5.711,2.867,6.289,0.112,0.187,0.116,0.064,0.289,0.288
"Barlow, Scott",605130,CU,218,78.422,2620.798,61.546,1.383,-0.682,6.607,-2.357,5.405,0.142,0.183,0.193,0.018,0.201,0.309
"Barlow, Scott",605130,FF,281,92.21,2438.466,218.858,-0.295,1.024,6.714,-2.372,5.223,0.068,0.196,0.1,0.075,0.401,0.315
"Barlow, Scott",605130,SI,187,92.511,2310.385,215.519,-1.073,0.767,6.775,-2.264,5.289,0.053,0.214,0.102,0.064,0.395,0.302
"Barlow, Scott",605130,SL,242,84.257,2648.434,102.45,0.631,0.098,6.571,-2.458,5.126,0.149,0.169,0.149,0.083,0.368,0.392
"Barlow, Scott",605130,ST,373,81.523,2518.515,83.697,1.105,0.556,6.58,-2.601,5.065,0.169,0.188,0.19,0.038,0.231,0.307
"Barnett, Mason",686930,FF,230,94.333,2268.861,195.522,-0.053,1.279,6.236,-2.206,6.004,0.074,0.135,0.087,0.104,0.354,0.325
"Bassitt, Chris",605135,CH,104,84.47,1829.221,247.875,-1.297,0.213,6.337,-1.624,5.357,0.077,0.173,0.087,0.096,0.439,0.365
"Bassitt, Chris",605135,CU,477,71.31,2276.641,48.929,1.4,-0.957,6.303,-1.819,5.674,0.14,0.155,0.14,0.046,0.236,0.248
"Bassitt, Chris",605135,FC,487,88.589,2223.961,201.107,0.067,0.707,6.353,-2.028,5.411,0.129,0.084,0.138,0.07,0.281,0.332
"Bassitt, Chris",605135,FF,288,91.574,2152.076,221.934,-0.429,0.933,6.319,-1.836,5.394,0.101,0.108,0.125,0.038,0.219,0.273
"Bassitt, Chris",605135,FS,102,83.42,1307.961,264.549,-1.222,-0.071,6.4,-2.803,5.303,0.078,0.088,0.186,0.108,0.462,0.466
"Bassitt, Chris",605135,SI,1233,91.618,2102.938,224.502,-1.352,0.375,6.365,-1.951,5.426,0.058,0.241,0.101,0.105,0.353,0.346
"Bassitt, Chris",605135,ST,177,72.643,2337.695,69.006,1.61,-0.06,6.225,-2.257,5.131,0.266,0.164,0.181,0.023,0.192,0.302
"Basso, Brady",669620,FF,108,92.692,2331.019,155.667,0.385,1.373,6.388,1.92,6.638,0.074,0.194,0.083,0.102,0.347,0.271
"Bautista, Félix",642585,FS,179,88.906,1049.994,214.933,-0.733,0.876,6.759,-0.401,6.913,0.246,0.056,0.207,0.039,0.134,0.222
"Bautista, Félix",642585,SI,387,97.224,2393.212,187.742,-0.398,1.72,6.623,0.124,7.023,0.098,0.173,0.109,0.065,0.322,0.24
"Baz, Shane",669358,CH,311,89.271,2113.845,233.79,-1.394,0.744,6.463,-1.447,5.732,0.132,0.093,0.145,0.055,0.258,0.236
"Baz, Shane",669358,FC,400,90.202,2343.67,193.622,0.21,0.645,6.27,-1.714,5.777,0.125,0.138,0.168,0.085,0.342,0.353
"Baz, Shane",669358,FF,1194,96.958,2455.772,216.783,-0.825,1.388,6.423,-1.474,5.771,0.101,0.17,0.119,0.068,0.338,0.331
"Baz, Shane",669358,KC,731,84.976,2699.066,36.669,0.629,-1.04,6.315,-1.333,5.86,0.138,0.193,0.16,0.098,0.248,0.312
"Bazardo, Eduard",660825,FF,177,94.857,2148.503,218.314,-0.695,1.348,5.934,-1.928,5.77,0.073,0.198,0.107,0.102,0.391,0.352
"Bazardo, Eduard",660825,SI,612,95.539,2229.294,217.826,-1.35,0.904,5.963,-1.898,5.783,0.059,0.281,0.059,0.065,0.238,0.274
"Bazardo, Eduard",660825,ST,574,82.561,2565.053,43.577,1.339,-0.333,5.704,-2.17,5.883,0.098,0.188,0.145,0.073,0.291,0.289
"Beck, Tristan",663941,CU,141,80.602,2364.064,29.135,0.675,-1.201,6.88,-2.133,6.1,0.071,0.206,0.113,0.156,0.435,0.41
"Beck, Tristan",663941,FF,270,94.673,2130.474,216.678,-0.804,1.307,6.747,-2.519,6.013,0.078,0.222,0.078,0.093,0.282,0.296
"Beck, Tristan",663941,SL,174,89.816,2485.931,168.08,0.29,0.528,6.776,-2.467,5.983,0.092,0.155,0.126,0.075,0.395,0.34
"Beck, Tristan",663941,ST,232,83.113,2816.845,54.983,1.552,-0.143,6.783,-2.518,5.833,0.168,0.103,0.211,0.082,0.257,0.272
"Bednar, David",670280,CU,409,77.666,2456.22,45.313,0.674,-0.621,6.273,-1.75,5.855,0.144,0.325,0.13,0.015,0.194,0.302
"Bednar, David",670280,FF,481,97.067,2442.405,210.748,-0.683,1.504,6.686,-1.625,5.918,0.106,0.143,0.123,0.098,0.339,0.344
"Bednar, David",670280,FS,222,92.341,1706.635,216.905,-0.674,0.44,6.646,-1.716,5.836,0.212,0.081,0.207,0.113,0.18,0.3
"Beeks, Jalen",656222,CH,345,88.827,2133.69,131.055,1.324,0.818,6.382,1.084,5.99,0.154,0.072,0.206,0.043,0.213,0.228
"Beeks, Jalen",656222,FF,480,94.379,2151.912,151.031,0.555,1.307,6.643,1.017,5.906,0.098,0.133,0.071,0.108,0.366,0.34
"Beeter, Clayton",690925,FF,251,96.473,2446.04,200.697,-0.311,1.5,5.98,-1.235,6.047,0.064,0.147,0.068,0.04,0.445,0.358
"Beeter, Clayton",690925,SL,214,87.432,2831.093,29.411,0.353,-0.44,5.845,-1.182,6.154,0.238,0.131,0.196,0.042,0.183,0.274
"Bello, Brayan",678394,CH,414,88.779,1843.058,244.063,-1.338,0.379,6.399,-1.771,5.226,0.147,0.024,0.229,0.07,0.306,0.353
"Bello, Brayan",678394,FC,428,88.238,2478.621,179.652,0.071,0.216,6.318,-1.636,5.401,0.11,0.224,0.107,0.107,0.368,0.323
"Bello, Brayan",678394,FF,412,95.065,2159.541,224.65,-0.638,1.126,6.369,-1.614,5.372,0.068,0.092,0.119,0.09,0.291,0.238
"Bello, Brayan",678394,SI,955,95.294,2121.158,228.232,-1.41,0.473,6.362,-1.604,5.352,0.042,0.24,0.103,0.095,0.335,0.324
"Bello, Brayan",678394,ST,516,85.672,2475.149,39.11,0.824,-0.266,6.264,-1.71,5.26,0.114,0.132,0.184,0.081,0.333,0.367
"Bellozo, Valente",678368,CH,191,81.518,2036.079,241.728,-1.331,0.394,6.168,-1.644,5.62,0.115,0.084,0.183,0.047,0.291,0.311
"Bellozo, Valente",678368,FC,463,84.568,2517.724,141.84,0.426,0.754,6.015,-1.159,6.07,0.071,0.21,0.08,0.11,0.373,0.33
"Bellozo, Valente",678368,FF,380,90.826,2147.129,203.011,-0.281,1.455,6.034,-1.099,6.07,0.063,0.137,0.126,0.1,0.422,0.35
"Bellozo, Valente",678368,ST,205,78.724,2731.922,77.507,1.236,0.29,6.109,-1.145,6.053,0.151,0.068,0.185,0.098,0.233,0.239
"Bender, Anthony",669622,SI,210,96.603,2320.333,235.381,-1.531,0.281,5.773,-1.672,5.835,0.014,0.267,0.057,0.114,0.389,0.352
"Bender, Anthony",669622,SL,175,87.365,2664.12,69.274,0.381,-0.088,5.832,-1.826,5.779,0.114,0.189,0.171,0.097,0.304,0.275
"Bender, Anthony",669622,ST,360,83.906,2779.522,65.358,1.397,0.188,5.636,-2.168,5.253,0.106,0.261,0.117,0.078,0.193,0.208
"Bergert, Ryan",686701,FF,558,93.425,2405.72,208.645,-0.647,1.555,6.45,-1.604,5.971,0.057,0.17,0.093,0.091,0.354,0.304
"Bergert, Ryan",686701,SL,325,87.425,2626.234,145.326,0.319,0.301,6.392,-1.795,5.962,0.148,0.132,0.163,0.058,0.298,0.333
"Bergert, Ryan",686701,ST,234,82.645,2816.115,56.624,1.25,-0.05,6.365,-1.979,5.844,0.111,0.209,0.124,0.043,0.258,0.292
"Bernardino, Brennan",657514,CH,104,79.802,1600.923,109.067,1.265,0.05,5.652,3.082,5.104,0.135,0.019,0.298,0.058,0.168,0.22
"Bernardino, Brennan",657514,CU,219,79.216,2688.16,297.781,-1.301,0.098,5.384,3.246,4.866,0.151,0.087,0.155,0.059,0.254,0.268
"Bernardino, Brennan",657514,FC,103,86.459,2314.631,162.408,-0.162,0.484,5.571,3.103,5.098,0.058,0.243,0.068,0.107,0.373,0.279
"Bernardino, Brennan",657514,SI,371,90.731,2173.596,127.27,1.333,0.415,5.757,2.914,5.112,0.027,0.307,0.081,0.094,0.33,0.303
"Berríos, José",621244,CH,434,85.189,1555.018,251.505,-1.202,0.363,6.473,-2.011,5.555,0.191,0.078,0.224,0.083,0.287,0.304
"Berríos, José",621244,FC,149,89.543,2308.168,208.141,0.005,0.833,6.336,-2.0,5.665,0.081,0.06,0.195,0.128,0.315,0.301
"Berríos, José",621244,FF,463,92.991,2130.821,223.654,-0.817,1.268,6.416,-1.913,5.714,0.05,0.19,0.104,0.086,0.358,0.311
"Berríos, José",621244,SI,867,92.165,2027.736,227.609,-1.338,0.899,6.444,-1.911,5.698,0.032,0.236,0.096,0.126,0.377,0.341
"Berríos, José",621244,SV,670,82.556,2362.224,40.552,1.241,-0.376,6.248,-2.12,5.601,0.136,0.167,0.19,0.07,0.312,0.341
"Bibee, Tanner",676440,CH,462,81.797,1961.994,213.372,-0.997,0.955,6.671,-2.243,6.156,0.184,0.134,0.158,0.045,0.256,0.295
"Bibee, Tanner",676440,CU,163,79.693,2667.356,39.828,0.857,-0.718,6.607,-2.072,6.378,0.098,0.147,0.202,0.092,0.294,0.357
"Bibee, Tanner",676440,FC,643,86.299,2705.813,92.053,0.656,0.265,6.628,-2.274,6.276,0.138,0.168,0.132,0.075,0.296,0.27
