batter,batter_name,pitch_type,pitches_seen,swings,avg_bat_speed,avg_swing_length,avg_attack_angle,avg_attack_direction,avg_swing_path_tilt,whiff_rate,called_strike_rate,hard_hit_rate,contact_swings,avg_launch_speed,avg_launch_angle,avg_xwoba,outside_zone_pitches,chases,batter_chase_rate
545361,"Corbin, Patrick",ST,212,60,69.781,7.781,11.605,-4.213,36.354,0.099,0.236,0.033,35,81.226,24.029,0.323,133,30,0.226
547180,"Parker, Mitchell",CH,184,97,73.688,7.626,14.094,-4.18,35.93,0.125,0.065,0.098,64,84.466,13.156,0.379,120,43,0.358
547180,"Parker, Mitchell",CU,259,155,71.979,7.984,18.829,-17.46,35.549,0.247,0.069,0.085,86,80.822,1.988,0.263,166,79,0.476
547180,"Parker, Mitchell",FC,114,64,74.219,7.212,11.646,-1.37,34.501,0.088,0.114,0.175,52,85.66,20.231,0.603,54,18,0.333
547180,"Parker, Mitchell",FF,640,332,73.006,6.572,2.772,12.794,35.274,0.125,0.086,0.088,222,85.964,29.108,0.426,335,85,0.254
547180,"Parker, Mitchell",FS,77,45,73.8,7.698,15.415,-7.729,36.679,0.143,0.013,0.195,34,88.618,3.971,0.333,49,18,0.367
547180,"Parker, Mitchell",KC,60,34,71.748,7.836,17.621,-13.06,34.171,0.25,0.083,0.083,19,78.958,-1.579,0.264,36,15,0.417
547180,"Parker, Mitchell",SI,286,145,71.327,6.551,1.952,12.546,36.322,0.066,0.157,0.129,114,85.198,6.939,0.372,132,39,0.295
547180,"Parker, Mitchell",SL,398,218,72.333,7.727,15.381,-9.834,35.521,0.216,0.07,0.08,116,82.277,14.552,0.274,253,101,0.399
547180,"Parker, Mitchell",ST,177,98,68.996,7.647,17.593,-11.859,33.62,0.209,0.079,0.079,59,81.68,23.492,0.392,105,41,0.39
553869,"Nelson, Ryne",CH,73,43,70.705,7.05,7.298,-12.02,30.926,0.178,0.068,0.11,26,81.392,1.654,0.269,46,21,0.457
553869,"Nelson, Ryne",FC,55,30,71.88,6.867,8.428,-5.006,28.849,0.182,0.091,0.127,17,84.082,21.059,0.306,26,6,0.231
553869,"Nelson, Ryne",FF,379,183,70.915,6.421,1.483,5.213,28.996,0.148,0.137,0.061,115,81.681,33.313,0.328,188,44,0.234
553869,"Nelson, Ryne",SI,139,75,70.714,6.384,1.131,5.226,30.29,0.094,0.23,0.158,56,85.898,15.821,0.337,47,15,0.319
553869,"Nelson, Ryne",SL,187,104,68.788,7.173,9.276,-11.519,28.18,0.23,0.123,0.053,54,80.319,17.071,0.195,98,36,0.367
553869,"Nelson, Ryne",ST,82,44,71.19,7.241,12.182,-15.273,27.16,0.244,0.134,0.012,23,75.422,25.13,0.114,41,14,0.341
553993,"Sale, Chris",CH,223,121,71.575,8.103,20.931,-11.71,39.562,0.197,0.072,0.112,71,86.141,9.239,0.281,137,50,0.365
553993,"Sale, Chris",CU,147,82,64.259,7.868,22.855,-14.836,38.91,0.245,0.177,0.041,39,77.91,4.744,0.139,83,41,0.494
553993,"Sale, Chris",FC,164,96,72.476,7.826,18.637,-3.301,38.699,0.146,0.104,0.11,62,82.892,21.129,0.368,75,26,0.347
553993,"Sale, Chris",FF,895,429,69.514,7.185,11.241,8.63,37.756,0.125,0.155,0.087,278,85.391,29.54,0.357,380,67,0.176
553993,"Sale, Chris",FS,82,43,70.96,8.347,25.1,-22.995,39.586,0.22,0.098,0.037,20,87.5,17.5,0.333,52,22,0.423
553993,"Sale, Chris",SI,459,209,71.403,7.413,11.52,3.727,39.902,0.094,0.209,0.083,151,81.33,9.424,0.337,193,40,0.207
553993,"Sale, Chris",SL,527,284,68.873,8.104,22.342,-12.291,39.425,0.226,0.102,0.089,146,84.579,12.589,0.329,300,117,0.39
553993,"Sale, Chris",ST,266,129,67.564,8.022,22.597,-13.832,39.268,0.154,0.158,0.075,74,80.847,24.257,0.241,148,56,0.378
570482,"Corbin, Patrick",FC,72,40,68.225,7.172,7.168,6.031,36.575,0.139,0.167,0.056,28,80.811,10.607,0.335,38,16,0.421
570482,"Corbin, Patrick",FF,202,113,66.554,6.795,7.625,13.026,32.752,0.149,0.119,0.074,76,83.824,19.539,0.268,87,23,0.264
570482,"Corbin, Patrick",SI,135,75,69.419,6.807,5.613,10.364,36.663,0.104,0.2,0.089,51,80.367,8.588,0.257,52,20,0.385
570482,"Corbin, Patrick",SL,110,66,65.648,7.531,13.317,-0.709,36.519,0.227,0.045,0.073,37,81.735,13.784,0.311,67,28,0.418
570482,"Corbin, Patrick",ST,67,32,65.35,7.372,13.449,-0.664,34.386,0.164,0.119,0.045,20,79.4,5.25,0.237,38,12,0.316
571448,"Abbott, Andrew",CH,137,81,70.355,8.744,12.168,-12.938,34.791,0.139,0.073,0.109,60,83.312,15.9,0.176,91,44,0.484
571448,"Abbott, Andrew",CU,62,31,69.987,8.742,13.901,-17.02,34.579,0.081,0.21,0.097,25,81.556,7.4,0.421,31,13,0.419
571448,"Abbott, Andrew",FC,111,52,69.765,8.296,8.783,-4.307,33.845,0.036,0.153,0.108,46,81.846,18.0,0.399,58,17,0.293
571448,"Abbott, Andrew",FF,452,232,69.698,7.927,6.433,-0.29,30.858,0.053,0.162,0.097,194,83.313,32.51,0.316,210,65,0.31
